,PLANT/CUSTOMER,CEMENT SOURCE,CEMENT TYPE,PICKED UP,DELIVERY TIME,DISPATCH#,CEMENT CARRIER,MG,STATUS,SPECIAL NOTES,AGGREGATE SOURCE,QTY LOADED,QTY MISSED,AGG MATERIAL,QTY,AGG CARRIER,MG,STATUS,SPECIAL NOTES,
0,BUNNELL RMC                                  MC LOC 276,JACKSONVILLE,TYPE IL,,7am,1182043,RM,y,,,NATIONAL GARDENS,,,ASTM #57 CO#10,8,SS,y,,,
1,JACKSONVILLE,TYPE IL,,10am,1182044,RM,y,,,VULCAN GRANDIN,,,DOT SILICA SAND,6,SS 4. NST 2,y,,,,
2,JACKSONVILLE,TYPE IL,,,,,,,,MELBOURNE,,,#89,1,SS 5. NST 1,y,,,,
3,JACKSONVILLE,TYPE IL,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,
10,DAYTONA RMC                                     MC LOC 269,EDGEWATER,TYPE IL,,6am,1181859,RM,Y,,,MELBOURNE,,,#89,1,SS,Y,,,
11,EDGEWATER,TYPE IL,,6am,1181860,RM,Y,,,NATIONAL GARDENS,,,ASTM #57 CO#10,12,SS ,Y,,,,
12,,,,830am,1181861,RM,Y,,,JAHNA GREENBAY,,,CONCRETE SAND,10,SS ,Y,,,,
13,,,,11am,1181862,RM,Y,,,COCOA,,,#57,,,,,,,
14,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,
18,DELAND RMC                                      MC LOC 270,EDGEWATER,TYPE IL,,7am,1182047,RM,y,,,MELBOURNE,,,#89 STONE CO#17,2,SS,Y,,,
19,EDGEWATER,TYPE IL,,9am,1182048,RM,y,,,NATIONAL GARDENS,,,ASTM #57 CO#10,8,SS,Y,,,,
20,EDGEWATER,TYPE IL,,11am,1182049,RM,y,,,JAHNA GREENBAY,,,CONCRETE SAND,2,SS,Y,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,EASTPORT RMC                                         MC LOC 271,JACKSONVILLE,TYPE IL,,5AM,1181883,NST ,Y,,,JACKSONVILLE,,,ASTM #57 CO#10,15,"SS 2, NST 13",Y,,,
27,JACKSONVILLE,TYPE IL,,4am,1181884,BTC,Y,,,VULCAN GRANDIN,,,DOT SILICA SAND,6,NST,Y,,,,
28,JACKSONVILLE,TYPE IL,,6am,1181885,BTC,Y,,,JACKSONVILLE,,,COMMERICAL SCREENING,2,SS,Y,,,,
29,JACKSONVILLE,TYPE IL,,8am,1181887,BTC,Y,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,0,,,,,,,,,,,,,,,,,,,
34,EDGEWATER BLOCK                                 MC LOC 261,EDGEWATER,TYPE IL,,6am,1181901,Venezia,y,Canceled,NOW RECEIVING IL FROM EDGEWATER ,JAHNA INDEPENDENT,,,CONCRETE SAND,,,,,,
